Player,Age,G,MP,FGA,eFG%,TRB,AST,PTS
James Harden,28,72,35.4,20.1,0.541,5.4,8.8,30.4
Anthony Davis,24,75,36.4,19.5,0.552,11.1,2.3,28.1
LeBron James,33,82,36.9,19.3,0.59,8.6,9.1,27.5
Giannis Antetokounmpo,23,75,36.7,18.7,0.545,10,4.8,26.9
Damian Lillard,27,73,36.6,19.4,0.519,4.5,6.6,26.9
Stephen Curry,29,51,32,16.9,0.618,5.1,6.1,26.4
Kevin Durant,29,68,34.2,18,0.586,6.8,5.4,26.4
Russell Westbrook,29,80,36.4,21.1,0.477,10.1,10.3,25.4
DeMarcus Cousins,27,48,36.2,18,0.53,12.9,5.4,25.2
Devin Booker,21,54,34.5,19.5,0.501,4.5,4.7,24.9
Kyrie Irving,25,60,32.2,18.1,0.568,3.8,5.1,24.4
LaMarcus Aldridge,32,75,33.5,18,0.52,8.5,2,23.1
Victor Oladipo,25,75,34,17.9,0.537,5.2,4.3,23.1
DeMar DeRozan,28,80,33.9,17.7,0.488,3.9,5.2,23
Joel Embiid,23,63,30.3,16.8,0.514,11,3.2,22.9
Kristaps Porziņģis,22,48,32.4,18.5,0.489,6.6,1.2,22.7
Bradley Beal,24,82,36.3,18.1,0.527,4.4,4.5,22.6
Lou Williams,31,79,32.8,16.9,0.505,2.5,5.3,22.6
Jimmy Butler,28,59,36.7,15.6,0.512,5.3,4.9,22.2
Kemba Walker,27,80,34.2,17,0.516,3.1,5.6,22.1
Paul George,27,79,36.6,17,0.521,5.7,3.3,21.9
Blake Griffin,28,58,34,17.2,0.493,7.4,5.8,21.4
CJ McCollum,26,81,36.1,18.6,0.506,4,3.4,21.4
Karl-Anthony Towns,22,82,35.6,14.3,0.596,12.3,2.4,21.3
Donovan Mitchell,21,79,33.4,17.2,0.506,3.7,3.7,20.5
MarShon Brooks,29,7,27.6,14.6,0.593,3,3.6,20.1
Khris Middleton,26,82,36.4,15.5,0.524,5.2,4,20.1
Klay Thompson,27,73,34.3,16.2,0.585,3.8,2.5,20
T.J. Warren,24,65,33,16.4,0.507,5.1,1.3,19.6
Tyreke Evans,28,52,30.9,15.6,0.523,5.1,5.2,19.4
Dennis Schröder,24,67,31,17.1,0.469,3.1,6.2,19.4
John Wall,27,41,34.4,16.3,0.466,3.7,9.6,19.4
Jrue Holiday,27,81,36.1,15.4,0.543,4.5,6,19
Harrison Barnes,25,77,34.2,15.7,0.494,6.1,2,18.9
Tobias Harris,25,80,33.4,15.3,0.535,5.5,2.4,18.6
Chris Paul,32,58,31.8,13.8,0.55,5.4,7.9,18.6
Nikola Jokić,22,75,32.6,13.5,0.554,10.7,6.1,18.5
Eric Gordon,29,69,31.2,14.1,0.54,2.5,2.2,18
Jeremy Lin,29,1,25,12,0.458,0,4,18
Evan Fournier,25,57,32.2,14.1,0.538,3.2,2.9,17.8
Eric Bledsoe,28,74,31.4,13.4,0.536,3.8,5,17.7
Andrew Wiggins,22,82,36.3,15.9,0.481,4.4,2,17.7
Aaron Gordon,22,58,32.9,14.9,0.5,7.9,2.3,17.6
Kevin Love,29,59,28,12.4,0.552,9.3,1.7,17.6
Tim Hardaway Jr.,25,57,33.1,15,0.496,3.9,2.7,17.5
Gary Harris,23,67,34.4,13.6,0.57,2.6,2.9,17.5
Goran Dragić,31,75,31.7,14.3,0.502,4.1,4.8,17.3
Marc Gasol,33,73,33,14.2,0.473,8.1,4.2,17.2
Mike Conley,30,12,31.1,14,0.452,2.3,4.1,17.1
JJ Redick,33,70,30.2,12.6,0.569,2.5,3,17.1
Zach LaVine,22,24,27.3,14.8,0.442,3.9,3,16.7
Jamal Murray,20,81,31.7,13.1,0.529,3.7,3.4,16.7
Dwight Howard,32,81,30.4,11.2,0.556,12.5,1.3,16.6
Nikola Vučević,27,57,29.5,14.7,0.513,9.2,3.4,16.5
